Regioni,popolazione,posti_letto,posti_letto_100k,posti_prima_covid19,posti_prima_covid19_100k
Calabria,1894110,155,8.183262852,104.17605,5.5
Campania,5712143,620,10.85407,331.304294,5.8
Umbria,870165,112,12.87112214,67.87287,7.8
Molise,300516,39,12.97767839,29.751084,9.9
Sardegna,1611621,216,13.40265484,128.92968,8
Marche,1512672,210,13.88271879,114.963072,7.6
Lombardia,10027602,1416,14.12102315,852.34617,8.5
Abruzzo,1293941,187,14.45197269,121.630454,9.4
Friuli Venezia Giulia,1206216,175,14.50818096,119.415384,9.9
Piemonte,4311217,628,14.56665253,323.341275,7.5
Liguria,1524826,226,14.82136322,147.908122,9.7
Puglia,3953305,586,14.82304047,300.45118,7.6
Basilicata,553254,88,15.90589494,48.686352,8.8
Lazio,5755700,943,16.38375871,552.5472,9.6
P.A. Trento,545425,90,16.5008938,50.1791,9.2
Toscana,3692555,616,16.68221597,217.860745,5.9
Emilia-Romagna,4464119,760,17.02463577,374.985996,8.4
Sicilia,4875290,836,17.14769788,492.40429,10.1
P.A. Bolzano,532644,100,18.77426574,37.28508,7
Veneto,4879133,1000,20.49544458,492.792433,10.1
Valle d'Aosta,125034,30,23.99347378,10.00272,8
